rank;hitYear;week;album
74;2024;40;MANIFESTO : DAY 1
18;2024;39;ROMANCE : UNTOLD
52;2024;39;DIMENSION : DILEMMA
60;2024;39;DIMENSION : ANSWER
65;2024;39;BORDER : CARNIVAL
79;2024;39;ORANGE BLOOD
80;2024;39;BORDER : DAY ONE
82;2024;39;DARK BLOOD
80;2024;38;DARK BLOOD
8;2024;37;ROMANCE : UNTOLD (Weverse)
23;2024;37;ROMANCE : UNTOLD
30;2024;37;DIMENSION : DILEMMA
51;2024;37;DIMENSION : ANSWER
62;2024;37;MANIFESTO : DAY 1
64;2024;37;DARK BLOOD
73;2024;37;BORDER : CARNIVAL
80;2024;37;ORANGE BLOOD
82;2024;37;BORDER : DAY ONE
10;2024;36;ORANGE BLOOD
22;2024;36;DARK BLOOD
23;2024;36;ROMANCE : UNTOLD
31;2024;36;DIMENSION : DILEMMA
38;2024;36;DIMENSION : ANSWER
39;2024;36;MANIFESTO : DAY 1
45;2024;36;BORDER : DAY ONE
99;2024;36;BORDER : CARNIVAL
5;2024;35;ROMANCE : UNTOLD (Weverse)
31;2024;35;ROMANCE : UNTOLD
34;2024;35;DIMENSION : DILEMMA
51;2024;35;DARK BLOOD
56;2024;35;DIMENSION : ANSWER
57;2024;35;BORDER : CARNIVAL
78;2024;35;BORDER : DAY ONE
79;2024;35;ORANGE BLOOD
91;2024;35;MANIFESTO : DAY 1
7;2024;34;ROMANCE : UNTOLD
12;2024;34;ORANGE BLOOD
57;2024;34;DIMENSION : ANSWER
63;2024;34;DIMENSION : DILEMMA
71;2024;34;DARK BLOOD
88;2024;34;MANIFESTO : DAY 1
3;2024;33;ROMANCE : UNTOLD
44;2024;33;ORANGE BLOOD
50;2024;33;DARK BLOOD
63;2024;33;MANIFESTO : DAY 1
77;2024;33;BORDER : CARNIVAL
82;2024;33;BORDER : DAY ONE
95;2024;33;DIMENSION : DILEMMA
97;2024;33;DIMENSION : ANSWER
4;2024;32;ROMANCE : UNTOLD
34;2024;32;DIMENSION : DILEMMA
56;2024;32;DARK BLOOD
57;2024;32;DIMENSION : ANSWER
64;2024;32;BORDER : CARNIVAL
81;2024;32;ORANGE BLOOD
1;2024;31;ROMANCE : UNTOLD (Weverse)
5;2024;31;ROMANCE : UNTOLD
32;2024;31;DIMENSION : DILEMMA
36;2024;31;DIMENSION : ANSWER
48;2024;31;BORDER : CARNIVAL
68;2024;31;ORANGE BLOOD
84;2024;31;DARK BLOOD
86;2024;31;MANIFESTO : DAY 1
1;2024;30;ROMANCE : UNTOLD
6;2024;30;ORANGE BLOOD
40;2024;30;DARK BLOOD
65;2024;30;DIMENSION : DILEMMA
79;2024;30;BORDER : CARNIVAL
83;2024;30;DIMENSION : ANSWER
86;2024;30;BORDER : DAY ONE
6;2024;29;ROMANCE : UNTOLD
9;2024;29;ROMANCE : UNTOLD (Weverse)
69;2024;29;DIMENSION : DILEMMA
75;2024;29;DIMENSION : ANSWER
77;2024;29;BORDER : DAY ONE
78;2024;29;ORANGE BLOOD
88;2024;29;DARK BLOOD
1;2024;28;ROMANCE : UNTOLD
3;2024;28;ROMANCE : UNTOLD (Weverse)
29;2024;28;ROMANCE : UNTOLD (LP)
41;2024;28;DIMENSION : DILEMMA
54;2024;28;DARK BLOOD
62;2024;28;MANIFESTO : DAY 1
68;2024;28;DIMENSION : ANSWER
76;2024;28;ORANGE BLOOD
82;2024;28;BORDER : CARNIVAL
57;2024;27;DIMENSION : DILEMMA
77;2024;27;ORANGE BLOOD
82;2024;27;DIMENSION : ANSWER
87;2024;27;DARK BLOOD
54;2024;26;DARK BLOOD
57;2024;26;ORANGE BLOOD
68;2024;26;DIMENSION : DILEMMA
96;2024;26;DIMENSION : ANSWER
97;2024;26;BORDER : CARNIVAL
46;2024;25;ORANGE BLOOD
49;2024;25;DARK BLOOD
65;2024;25;DIMENSION : DILEMMA
87;2024;25;DIMENSION : ANSWER
92;2024;25;MANIFESTO : DAY 1
98;2024;25;BORDER : CARNIVAL
12;2024;24;ORANGE BLOOD
26;2024;24;DIMENSION : DILEMMA
33;2024;24;BORDER : CARNIVAL
36;2024;24;DIMENSION : ANSWER
44;2024;24;BORDER : DAY ONE
51;2024;24;DARK BLOOD
97;2024;24;MANIFESTO : DAY 1
45;2024;23;DARK MOON SPECIAL ALBUM ? MEMORABILIA ?
53;2024;23;DIMENSION : DILEMMA
69;2024;23;DIMENSION : ANSWER
76;2024;23;DARK BLOOD
77;2024;23;ORANGE BLOOD
97;2024;23;MANIFESTO : DAY 1
32;2024;22;DARK MOON SPECIAL ALBUM ? MEMORABILIA ?
55;2024;22;DIMENSION : ANSWER
58;2024;22;ORANGE BLOOD
60;2024;22;DIMENSION : DILEMMA
76;2024;22;DARK BLOOD
78;2024;22;BORDER : DAY ONE
93;2024;22;BORDER : CARNIVAL
23;2024;21;DARK MOON SPECIAL ALBUM ? MEMORABILIA ?
31;2024;21;ORANGE BLOOD
39;2024;21;DIMENSION : DILEMMA
51;2024;21;BORDER : CARNIVAL
57;2024;21;MANIFESTO : DAY 1
66;2024;21;DARK BLOOD
71;2024;21;DIMENSION : ANSWER
3;2024;20;DARK MOON SPECIAL ALBUM ? MEMORABILIA ?
35;2024;20;ORANGE BLOOD
36;2024;20;BORDER : CARNIVAL
37;2024;20;DIMENSION : ANSWER
42;2024;20;DARK BLOOD
47;2024;20;MANIFESTO : DAY 1
59;2024;20;DIMENSION : DILEMMA
88;2024;20;BORDER : DAY ONE
54;2024;19;DARK BLOOD
56;2024;19;ORANGE BLOOD
57;2024;19;DIMENSION : DILEMMA
41;2023;52;ORANGE BLOOD
51;2023;52;ORANGE BLOOD (Weverse)
54;2023;52;DIMENSION : DILEMMA
55;2023;52;DARK BLOOD
89;2023;52;BORDER : DAY ONE
95;2023;52;DIMENSION : ANSWER
99;2023;52;BORDER : CARNIVAL
76;2023;51;ORANGE BLOOD (Weverse)
95;2023;51;DIMENSION : ANSWER
99;2023;51;DIMENSION : DILEMMA
3;2023;50;ORANGE BLOOD
