rank;hitYear;week;album
36;2021;50;BORDER : DAY ONE
40;2021;50;BORDER : CARNIVAL
30;2021;49;DIMENSION : DILEMMA
32;2021;49;BORDER : DAY ONE
34;2021;49;BORDER : CARNIVAL
7;2021;48;DIMENSION : DILEMMA
30;2021;48;BORDER : CARNIVAL
43;2021;48;BORDER : DAY ONE
47;2021;47;BORDER : CARNIVAL
55;2021;47;BORDER : DAY ONE
14;2021;46;DIMENSION : DILEMMA
17;2021;46;BORDER : CARNIVAL
29;2021;46;BORDER : DAY ONE
9;2021;45;DIMENSION : DILEMMA
26;2021;45;BORDER : DAY ONE
46;2021;45;BORDER : CARNIVAL
3;2021;44;DIMENSION : DILEMMA
22;2021;44;BORDER : CARNIVAL
47;2021;44;BORDER : DAY ONE
3;2021;43;DIMENSION : DILEMMA
34;2021;43;BORDER : CARNIVAL
47;2021;43;BORDER : DAY ONE
1;2021;42;DIMENSION : DILEMMA
23;2021;42;BORDER : DAY ONE
47;2021;42;BORDER : CARNIVAL
21;2021;41;BORDER : CARNIVAL
28;2021;41;BORDER : DAY ONE
22;2021;40;BORDER : CARNIVAL
27;2021;40;BORDER : DAY ONE
12;2021;39;BORDER : DAY ONE
23;2021;39;BORDER : CARNIVAL
6;2021;38;BORDER : CARNIVAL
25;2021;38;BORDER : DAY ONE
24;2021;37;BORDER : DAY ONE
36;2021;37;BORDER : CARNIVAL
17;2021;36;BORDER : DAY ONE
19;2021;36;BORDER : CARNIVAL
24;2021;35;BORDER : CARNIVAL
20;2021;34;BORDER : DAY ONE
33;2021;34;BORDER : CARNIVAL
12;2021;33;BORDER : CARNIVAL
17;2021;33;BORDER : DAY ONE
15;2021;32;BORDER : CARNIVAL
24;2021;32;BORDER : DAY ONE
28;2021;31;BORDER : DAY ONE
31;2021;31;BORDER : CARNIVAL
6;2021;30;BORDER : CARNIVAL
18;2021;30;BORDER : DAY ONE
5;2021;29;BORDER : CARNIVAL
39;2021;29;BORDER : DAY ONE
26;2021;28;BORDER : CARNIVAL
31;2021;28;BORDER : DAY ONE
34;2021;27;BORDER : CARNIVAL
43;2021;27;BORDER : DAY ONE
47;2021;26;BORDER : CARNIVAL
49;2021;26;BORDER : DAY ONE
32;2021;25;BORDER : DAY ONE
42;2021;25;BORDER : CARNIVAL
24;2021;24;BORDER : CARNIVAL
46;2021;24;BORDER : DAY ONE
24;2021;23;BORDER : CARNIVAL
47;2021;23;BORDER : DAY ONE
13;2021;22;BORDER : CARNIVAL
42;2021;22;BORDER : DAY ONE
3;2021;21;BORDER : CARNIVAL
33;2021;21;BORDER : DAY ONE
9;2021;20;BORDER : CARNIVAL
30;2021;20;BORDER : DAY ONE
7;2021;19;BORDER : CARNIVAL
36;2021;19;BORDER : DAY ONE
1;2021;18;BORDER : CARNIVAL
28;2021;18;BORDER : DAY ONE
77;2021;17;BORDER : DAY ONE
63;2021;16;BORDER : DAY ONE
33;2021;15;BORDER : DAY ONE
23;2021;14;BORDER : DAY ONE
50;2021;13;BORDER : DAY ONE
82;2021;12;BORDER : DAY ONE
42;2021;11;BORDER : DAY ONE
5;2021;10;BORDER : DAY ONE
72;2021;8;BORDER : DAY ONE
38;2021;7;BORDER : DAY ONE
31;2021;6;BORDER : DAY ONE
15;2021;5;BORDER : DAY ONE
41;2021;4;BORDER : DAY ONE
6;2021;3;BORDER : DAY ONE
2;2021;1;BORDER : DAY ONE
5;2020;52;BORDER : DAY ONE
7;2020;50;BORDER : DAY ONE
2;2020;49;BORDER : DAY ONE
